complexity,accuracy,distortion,mse,gNID,eps,beta,run,point_type,round,universe,prior,num_signals,distance,discriminative_need_gamma,meaning_dist_gamma,dynamics,imprecise_imitation_gamma,population_init_gamma,seed,ib_bound_function
1.5121493,1.5380416,0.37398624,2.309923,,,,1.0,trajectory,47.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5125017,1.538343,0.37368488,2.3089874,,,,1.0,trajectory,48.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5128417,1.5386295,0.3733983,2.308131,,,,1.0,trajectory,49.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.513176,1.5389018,0.37312603,2.30734,,,,1.0,trajectory,50.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5134993,1.5391612,0.37286663,2.306607,,,,1.0,trajectory,51.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5138102,1.5394053,0.3726225,2.3059309,,,,1.0,trajectory,52.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5141048,1.5396323,0.37239552,2.3053114,,,,1.0,trajectory,53.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5143809,1.5398417,0.37218618,2.3047488,,,,1.0,trajectory,54.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5146375,1.5400305,0.37199736,2.3042421,,,,1.0,trajectory,55.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5148702,1.5402002,0.3718276,2.3037908,,,,1.0,trajectory,56.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5150805,1.5403504,0.3716774,2.3033934,,,,1.0,trajectory,57.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5152674,1.5404825,0.3715453,2.3030462,,,,1.0,trajectory,58.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5154324,1.5405941,0.37143373,2.3027472,,,,1.0,trajectory,59.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5155754,1.54069,0.3713379,2.3024926,,,,1.0,trajectory,60.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5156984,1.5407681,0.3712597,2.3022788,,,,1.0,trajectory,61.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5158024,1.5408335,0.37119436,2.3021028,,,,1.0,trajectory,62.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5158882,1.540885,0.37114286,2.3019595,,,,1.0,trajectory,63.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5159597,1.5409236,0.37110424,2.3018463,,,,1.0,trajectory,64.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160165,1.5409527,0.37107515,2.301759,,,,1.0,trajectory,65.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160604,1.5409727,0.37105513,2.301694,,,,1.0,trajectory,66.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160933,1.5409846,0.3710432,2.3016486,,,,1.0,trajectory,67.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161166,1.5409899,0.37103796,2.3016193,,,,1.0,trajectory,68.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161319,1.5409894,0.37103844,2.3016028,,,,1.0,trajectory,69.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161405,1.5409856,0.37104225,2.3015976,,,,1.0,trajectory,70.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161448,1.5409789,0.37104893,2.3016007,,,,1.0,trajectory,71.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161424,1.540968,0.3710599,2.30161,,,,1.0,trajectory,72.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161381,1.540957,0.37107086,2.3016229,,,,1.0,trajectory,73.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161314,1.540945,0.37108278,2.3016381,,,,1.0,trajectory,74.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161238,1.5409327,0.37109518,2.301654,,,,1.0,trajectory,75.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161152,1.5409207,0.3711071,2.3016691,,,,1.0,trajectory,76.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5161071,1.5409102,0.3711176,2.3016825,,,,1.0,trajectory,77.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160999,1.5409002,0.3711276,2.301692,,,,1.0,trajectory,78.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160947,1.540895,0.37113285,2.3016975,,,,1.0,trajectory,79.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160899,1.5408893,0.37113857,2.301698,,,,1.0,trajectory,80.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.516089,1.5408893,0.37113857,2.3016918,,,,1.0,trajectory,81.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
1.5160894,1.5408897,0.3711381,2.3016796,,,,1.0,trajectory,82.0,10,-8,10,squared_dist,1.0,0,replicator_diffusion,0.0,-8.0,42.0,
