,L,a,b,name
288,71.6,-27.52,-7.11,289
289,91.08,4.3,10.08,290
290,51.57,5.02,-48.35,291
291,81.35,23.74,6.18,292
292,91.08,-13.22,3.82,293
293,91.08,-4.65,-5.34,294
294,41.22,9.31,37.8,295
295,30.77,33.51,-35.69,296
296,81.35,7.28,109.12,297
297,51.57,58.01,30.52,298
298,51.57,-52.69,9.7,299
299,71.6,-0.04,0.05,300
300,51.57,-51.2,-1.36,301
301,91.08,5.54,4.46,302
302,81.35,-0.24,-24.03,303
303,51.57,-18.37,55.88,304
304,20.54,34.44,-14.69,305
305,81.35,-40.58,54.46,306
306,51.57,-27.95,-22.24,307
307,61.7,20.07,-26.92,308
308,30.77,-3.32,26.87,309
309,61.7,-52.09,10.63,310
310,41.22,-14.67,-30.69,311
311,20.54,-0.02,0.02,312
312,20.54,23.81,-41.87,313
313,91.08,5.27,-0.1,314
314,71.6,-46.7,41.31,315
315,51.57,-38.59,-7.0,316
316,30.77,44.87,-16.65,317
317,71.6,30.67,44.56,318
318,91.08,4.7,-2.0,319
319,51.57,-11.71,58.46,320
320,51.57,59.36,19.67,321
321,71.6,-5.09,-30.75,322
322,30.77,-39.18,2.14,323
323,91.08,5.43,5.64,324
324,30.77,42.44,-23.6,325
325,71.6,6.22,81.95,326
326,91.08,-7.96,-4.41,327
327,30.77,-27.26,20.69,328
328,41.22,17.04,45.95,329
329,91.08,-11.94,-0.27,330
