complexity,accuracy,distortion
3.7979583504332576e-06,3.0824126295892693e-06,1.060873763900847
4.317553351097546e-06,3.504124617205666e-06,1.0608733421888594
4.898349055726309e-06,3.975509716669988e-06,1.0608728708037598
5.5464279241449655e-06,4.501504931567575e-06,1.060872344808545
6.268368598478642e-06,5.087450031253141e-06,1.0608717588634453
7.071277814179142e-06,5.7391134558061255e-06,1.0608711072000208
7.962823828142704e-06,6.462719454696813e-06,1.0608703835940219
8.951271409268252e-06,7.264976489027335e-06,1.0608695813369875
1.0045518440712867e-05,8.153106948659252e-06,1.0608686932065279
1.0106105046593605e-05,8.214126803146035e-06,1.0608686321866734
1.126231918200423e-05,9.153895981727417e-06,1.060867692417495
1.25362903454119e-05,1.0189379362683164e-05,1.0608666569341139
1.3938563992129579e-05,1.1329148564709904e-05,1.060865517164912
1.5480502846577268e-05,1.258243951520084e-05,1.0608642638739614
1.7174340546187317e-05,1.395919605603719e-05,1.0608628871174206
1.9033238175948733e-05,1.5470115895347314e-05,1.0608613761975811
2.1071343813372116e-05,1.7126699011263302e-05,1.0608597196144653
2.3303855206521587e-05,1.894129859571241e-05,1.0608579050148808
2.5747085716396206e-05,2.0927174654697048e-05,1.0608559191388218
2.841853364695265e-05,2.309855036443034e-05,1.0608537477631121
3.1336955108799544e-05,2.5470671290334248e-05,1.0608513756421862
3.452244054346653e-05,2.8059867594843644e-05,1.0608487864458818
3.7996495056110784e-05,3.0883619323567686e-05,1.060845962694153
4.178212269726148e-05,3.396062491670411e-05,1.06084288568856
4.590391484877152e-05,3.731087304103862e-05,1.0608395354404356
5.0388142854744404e-05,4.0955717882004706e-05,1.0608358905955946
5.526285506020338e-05,4.4917958011902125e-05,1.0608319283554646
6.0557978415348316e-05,4.922191896754215e-05,1.060827624394509
6.630542480291952e-05,5.389353966543883e-05,1.0608229527738111
7.253920225238601e-05,5.896046278849777e-05,1.060817885850688
7.929553121453723e-05,6.445212928008173e-05,1.0608123941841965
8.661296605850392e-05,7.039987708338619e-05,1.060806446436393
9.453252197235866e-05,7.683704426480295e-05,1.0608000092692118
0.00010309780743552257,8.379907666441723e-05,1.0607930472368121
0.00010562247182976363,8.588793680790002e-05,1.0607909583766686
0.00011563868318435866,9.403271346774773e-05,1.0607828136000088
0.0001265178482031951,0.00010287920260170862,1.060773967110875
0.0001383268714766265,0.00011248180596580777,1.0607643645075107
0.0001511372649179628,0.00012289867124634985,1.0607539476422303
0.00016502542398739582,0.00013419191657999143,1.0607426543968965
0.00018007291780924934,0.0001464278663348406,1.0607304184471418
0.00019636679369536134,0.0001596772985996717,1.060717169014877
0.0002139998966248701,0.00017401570480826022,1.0607028306086683
0.0002330712042193486,0.00018952356193492262,1.0606873227515417
0.00025368617776594203,0.00020628661771802462,1.0606705596957586
0.0002759571298494396,0.0002243961893483891,1.0606524501241281
0.0003000036091512361,0.0002439494760823761,1.0606328968373941
