complexity,accuracy,distortion
2.760219821874119e-05,8.588676990443883e-06,0.4158163014597283
2.8639769898372703e-05,8.911526424865693e-06,0.4158159786102939
2.9766777271941562e-05,9.262205242959203e-06,0.4158156279314758
3.1265379721392215e-05,9.728507800559745e-06,0.4158151616289182
3.211316904707934e-05,9.992291339690102e-06,0.41581489784537906
3.3347799388148494e-05,1.0376463696292865e-05,0.41581451367302247
3.440190255236465e-05,1.0704451212558912e-05,0.4158141856855062
3.6211914759978285e-05,1.126763975303984e-05,0.4158136224969657
3.6794909732988635e-05,1.1449043617318192e-05,0.4158134410931014
3.801682014250812e-05,1.182923798946055e-05,0.41581306089872927
4.0270668467360945e-05,1.2530544266030023e-05,0.4158123595924527
4.134141316184124e-05,1.2863702992746211e-05,0.415812026433726
4.262339715730088e-05,1.3262595065351975e-05,0.4158116275416534
4.4724367719077485e-05,1.391631880857295e-05,0.41581097381791016
4.6268254879855846e-05,1.4396704349394978e-05,0.41581049343236937
4.749769656512962e-05,1.4779257224100796e-05,0.41581011087949465
4.894227386863958e-05,1.5228741248143595e-05,0.4158096613954706
5.218232043877801e-05,1.623688236995242e-05,0.4158086532543488
5.2778890893618157e-05,1.6422502096780358e-05,0.415808467634622
5.540483508470431e-05,1.7239575021103546e-05,0.41580765056169766
5.695582680831841e-05,1.772217367206254e-05,0.4158071679630467
5.934657659544093e-05,1.846606413805726e-05,0.41580642407258067
6.1001171496322054e-05,1.8980889506376028e-05,0.4158059092472124
6.238079963722591e-05,1.9410148955448452e-05,0.4158054799877633
6.504166288965392e-05,2.0238072147631993e-05,0.4158046520645711
6.781145906108087e-05,2.1099898056435758e-05,0.4158037902386623
7.03750012613543e-05,2.1897535071694892e-05,0.41580299260164705
7.213728764131093e-05,2.2445848307409747e-05,0.41580244428841134
7.42932799599551e-05,2.3116695620885445e-05,0.41580177344109787
7.685240124491688e-05,2.3912947099108067e-05,0.41580097718961967
7.937245926583166e-05,2.469707275984389e-05,0.41580019306395893
8.277525371912895e-05,2.5755849022850566e-05,0.4157991342876959
8.52779129533745e-05,2.6534556703419488e-05,0.4157983555800153
8.969544914003455e-05,2.7909026132520254e-05,0.4157969811105862
9.298282924728787e-05,2.8931869916420265e-05,0.4157959582668023
9.475516125112203e-05,2.9483302549465328e-05,0.41579540683416927
9.655771525814621e-05,3.00441541490612e-05,0.4157948459825697
9.97420654657915e-05,3.103497107065036e-05,0.4157938551656481
0.00010280258012783978,3.1987246433009304e-05,0.41579290289028575
0.000108106578570314,3.363753374480957e-05,0.41579125260297395
0.00010951451451465706,3.407560573409695e-05,0.41579081453098465
0.0001154080961100029,3.590931634782192e-05,0.4157889808203709
0.00011814778391739632,3.676173415217084e-05,0.41578812840256657
0.00012162814212785747,3.784461616078995e-05,0.41578704552055795
0.00012500388543132325,3.889488814718104e-05,0.41578599524857157
0.00012844095576222656,3.996432537828699e-05,0.41578492581134047
0.0001354467966280847,4.214409792954204e-05,0.41578274603878923
0.00013780011631208693,4.287629704815469e-05,0.4157820138396706
0.00014037719536079947,4.367813410749636e-05,0.41578121200261126
0.00014530890272951955,4.5212595959142767e-05,0.4157796775407596
0.00015387915755011274,4.7879043489958623e-05,0.4157770110932288
0.00015744018591088864,4.898705527838584e-05,0.41577590308144036
0.00016059924459429624,4.9971811165240724e-05,0.4157749183255535
0.00016545690386540922,5.148323246618801e-05,0.4157734069042526
0.00017069564319212614,5.3113201886674754e-05,0.4157717769348321
0.00017540021543663734,5.457701368488409e-05,0.41577031312303386
0.00018538638082127174,5.768409348899407e-05,0.41576720604322975
0.00018732207328559097,5.82864145666652e-05,0.4157666037221521
0.00019493201539459563,6.065409528261742e-05,0.41576423604143614
0.00019811429461674465,6.16442177512019e-05,0.41576324591896757
0.00020543524899495225,6.392205736371878e-05,0.41576096807935503
0.00021152488720601085,6.58167394500429e-05,0.4157590733972687
0.00021566735250406278,6.710564835489153e-05,0.41575778448836387
0.0002246609985000995,6.990385232105165e-05,0.4157549862843977
0.0002318754720204287,7.214850652867868e-05,0.41575274163019005
0.0002443993592068483,7.60450263179399e-05,0.41574884511040083
0.00024871308210276796,7.738706424675212e-05,0.415747503072472
0.00025785639313400863,8.023187637424422e-05,0.4157446582603445
0.00025882266555130767,8.053248325396016e-05,0.4157443576534648
0.0002758255807088023,8.582253272716549e-05,0.4157390676039916
0.0002837078746502514,8.827486882973036e-05,0.415736615267889
0.00029265509277496545,9.105852064616719e-05,0.4157338316160726
0.00030427655177933324,9.467422641603315e-05,0.41573021591030274
0.00030983374293217176,9.640311274470431e-05,0.415728487023974
0.0003197861268545878,9.94994512046892e-05,0.41572539068551406
0.00033167547794485267,0.00010319833197085416,0.4157216918047479
0.0003359730811138983,0.00010453541361660978,0.41572035472310215
0.0003488874131407564,0.00010855319002871148,0.41571633694669
0.0003639510130665529,0.0001132396204242196,0.41571165051629455
0.0003699805716898641,0.00011511543590559592,0.41570977470081316
0.0003851458365065192,0.00011983344965612808,0.41570505668706265
0.0003900224711906669,0.00012135032989303738,0.41570353980682573
0.00040560660706275345,0.00012619880784623817,0.4156986913288725
0.00042021877791888104,0.00013074456991694834,0.4156941455668018
0.0004355131984446614,0.00013550270094054851,0.4156893874357782
0.0004415396822619742,0.0001373773953736341,0.41568751274134513
0.00045610727070164575,0.00014190930181034623,0.4156829808349084
0.00047343725132665014,0.00014730035732142768,0.41567758977939734
0.00047655389879832125,0.000148269866141694,0.41567662027057706
0.0004957019267468219,0.00015422658889661676,0.4156706635478221
0.0005107253868596198,0.00015890005868402762,0.41566599007803473
0.0005234664262187826,0.00016286340141355223,0.4156620267353052
0.0005450674898303092,0.00016958294070223872,0.4156553071960165
0.0005575048397545523,0.00017345207357058554,0.41565143806314814
0.0005757825995324496,0.00017913758373232398,0.4156457525529864
