complexity,accuracy,distortion,mse,eu_gamma,kl_eb,min_gnid,gnid_beta,sender_delta,receiver_delta,round,run,min_distance_to_curve,min_epsilon,min_beta
4.0861372183340965,3.813053616687503,33.46712088796828,6.028476723073462,0.1642796063266113,0.0557945062473867,0.0015025144479718,1.479899497487437,2.630539899993056,1.5203424495494482,13.0,1.0,0.0037042737264141134,0.0023647176965599925,1.4798994974874373
4.09617969927463,3.820292918302325,33.68562485984953,5.973502041612454,0.165117724176542,0.055372068421648,0.0010619480826061,1.4869346733668345,2.2423600112863817,1.2581591169116009,14.0,1.0,0.0035108621849283825,0.0019003350824121717,1.4869346733668343
4.103264779543274,3.8253770107203184,33.69443478438779,5.935625377346458,0.1657155515598292,0.0551078946350381,0.0013143354315279,1.4939698492462312,1.9259344463615884,1.0698798936572629,15.0,1.0,0.005731810593834873,0.001580046043062041,1.4939698492462312
4.108317272986378,3.8289943417762697,33.70005097421201,5.909044063517281,0.1661449848153131,0.0549265059640202,0.0008559287733036,1.4939698492462312,1.66588276388604,0.92661401568427,16.0,1.0,0.001181108372352329,0.001344639626120648,1.4939698492462312
4.111980249938634,3.8316168003161057,33.703716679337276,5.889964186421678,0.1664576504922207,0.0547897361594793,0.0012086237255782,1.4939698492462312,1.453210451074825,0.8163085406462951,17.0,1.0,0.004234054579263027,0.0011740223694972044,1.4939698492462312
4.114690589405665,3.8335604011528623,33.70614535040449,5.87592032783082,0.1666895084047451,0.0546795221681942,0.0010122251281796,1.5010050251256282,1.281679906850299,0.7298591470118448,18.0,1.0,0.004613602961782366,0.0010391814181221614,1.5010050251256282
4.116740296955678,3.835033895100219,33.70777284898518,5.865322385871108,0.1668650322703392,0.054587380332635,0.0007113022739311,1.5010050251256282,1.1385675201057874,0.6579195563715753,19.0,1.0,0.0021533405924643767,0.0009312442248752248,1.5010050251256282
4.118323652686591,3.8361750953279223,33.7088787804097,5.857140851739724,0.1670007036569269,0.0545090175652227,0.0004777582525434,1.5010050251256282,1.0167106938737702,0.5958513436669096,20.0,1.0,0.0007055888249000906,0.0008449077080919866,1.5010050251256282
4.119570752234344,3.837075950100827,33.70964799639896,5.850699422731777,0.1671076382574591,0.0544418804948396,0.0005583237732025,1.5010050251256282,0.9134323454042376,0.5416115993242461,21.0,1.0,0.0016132305799934337,0.0007748959549486437,1.5010050251256282
4.120570018336277,3.8377989478392216,33.71020413331695,5.845543764796687,0.1671934137883292,0.0543841484319878,0.0006494413114594,1.5010050251256282,0.8256923104187728,0.493642110096644,22.0,1.0,0.002776199600222345,0.0007176295666868922,1.5010050251256282
4.121382767059536,3.838387530024228,33.71062954078294,5.841360376889528,0.1672632830646669,0.0543343579918978,0.000723208940542,1.5010050251256282,0.7497669597090206,0.4513912774572401,23.0,1.0,0.00375560953541588,0.0006705170700926133,1.5010050251256282
4.122052466720765,3.8388726228537497,33.71097801150883,5.837926820280542,0.1673209595753628,0.0542912746611716,0.0007837877775235,1.5010050251256282,0.6826348511341647,0.4141287131901215,24.0,1.0,0.004570541783871811,0.0006315917416908155,1.5010050251256282
4.122610608765465,3.839276745470274,33.71128335075099,5.835081034877441,0.1673691225988811,0.0542538484841894,0.0008341387254664,1.5010050251256282,0.6249287546066893,0.3808635328516569,25.0,1.0,0.0052525120901670865,0.000599314678883303,1.5010050251256282
4.123080466419948,3.8396166300886705,33.711565374885616,5.832702134449836,0.1674097437961506,0.0542211925503093,0.000876416104076,1.5010050251256282,0.5739228507933032,0.3513284609179971,26.0,1.0,0.005827756096736196,0.0005717768189554364,1.5080402010050251
4.123479545909577,3.83990492973407,33.71183425282432,5.8306981141239,0.1674443013688722,0.0541925647635983,0.0009122211257562,1.5010050251256282,0.528299493912158,0.3250579252712361,27.0,1.0,0.005522157087601635,0.0005481116901712459,1.5080402010050251
4.123821223212513,3.84015136039023,33.71209374015225,5.828997770039573,0.1674739231143869,0.0541673487454596,0.000942767951812,1.5010050251256282,0.4879550296097984,0.3017961181183415,28.0,1.0,0.005101315225698116,0.0005282514548181747,1.5080402010050251
4.124115864339398,3.8403634849972192,33.71234363281145,5.827545237507144,0.1674994838287897,0.0541450344286689,0.0009550408254225,1.5080402010050251,0.4519541989477401,0.2813180330458509,29.0,1.0,0.004738707891858116,0.0005115070019450457,1.5080402010050251
4.124371609376755,3.8405472641099543,33.71258162542489,5.826296197941139,0.1675216727518328,0.054125199723871,0.0009184495910886,1.5080402010050251,0.4200409047206806,0.2634486983622143,30.0,1.0,0.004424243971178079,0.0004973155680973793,1.5080402010050251
4.12459493093149,3.840707449766573,33.712804676721944,5.825215177745021,0.1675410408915446,0.0541074942712446,0.0008867330750204,1.5080402010050251,0.3912555864183288,0.2473596589436824,31.0,1.0,0.0041498911167368365,0.0004852171803633296,1.5080402010050251
