trial,meanings,words,p(w|m)
6.0,2.0,4.0,0.0
6.0,2.0,5.0,0.0
6.0,2.0,6.0,0.0
6.0,2.0,7.0,1.59294e-40
6.0,2.0,8.0,1.0
6.0,2.0,9.0,0.0
6.0,3.0,0.0,0.0
6.0,3.0,1.0,0.0
6.0,3.0,2.0,0.0
6.0,3.0,3.0,0.0
6.0,3.0,4.0,6.6201562e-12
6.0,3.0,5.0,0.0
6.0,3.0,6.0,0.0
6.0,3.0,7.0,0.9999999
6.0,3.0,8.0,0.0
6.0,3.0,9.0,0.0
6.0,4.0,0.0,0.0
6.0,4.0,1.0,0.0
6.0,4.0,2.0,2e-44
6.0,4.0,3.0,0.0
6.0,4.0,4.0,1.0
6.0,4.0,5.0,0.0
6.0,4.0,6.0,0.0
6.0,4.0,7.0,0.0
6.0,4.0,8.0,0.0
6.0,4.0,9.0,0.0
6.0,5.0,0.0,0.0
6.0,5.0,1.0,2.9229224e-05
6.0,5.0,2.0,0.9999708
6.0,5.0,3.0,0.0
6.0,5.0,4.0,6e-44
6.0,5.0,5.0,0.0
6.0,5.0,6.0,0.0
6.0,5.0,7.0,0.0
6.0,5.0,8.0,0.0
6.0,5.0,9.0,0.0
6.0,6.0,0.0,0.0
6.0,6.0,1.0,0.0
6.0,6.0,2.0,0.0
6.0,6.0,3.0,0.0
6.0,6.0,4.0,0.0
6.0,6.0,5.0,0.0
6.0,6.0,6.0,1.0
6.0,6.0,7.0,0.0
6.0,6.0,8.0,0.0
6.0,6.0,9.0,0.0
6.0,7.0,0.0,1.0
6.0,7.0,1.0,0.0
6.0,7.0,2.0,0.0
6.0,7.0,3.0,0.0
6.0,7.0,4.0,0.0
6.0,7.0,5.0,0.0
6.0,7.0,6.0,0.0
6.0,7.0,7.0,0.0
6.0,7.0,8.0,0.0
6.0,7.0,9.0,0.0
6.0,8.0,0.0,0.0
6.0,8.0,1.0,0.0
6.0,8.0,2.0,0.0
6.0,8.0,3.0,0.99405366
6.0,8.0,4.0,0.0
6.0,8.0,5.0,0.0
6.0,8.0,6.0,0.0
6.0,8.0,7.0,0.0
6.0,8.0,8.0,0.0
6.0,8.0,9.0,0.0
6.0,9.0,0.0,0.0
6.0,9.0,1.0,0.0
6.0,9.0,2.0,0.0
6.0,9.0,3.0,0.005991758
6.0,9.0,4.0,0.0
6.0,9.0,5.0,0.0
6.0,9.0,6.0,0.0
6.0,9.0,7.0,0.0
6.0,9.0,8.0,0.0
6.0,9.0,9.0,0.0
7.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0
7.0,0.0,2.0,0.0
7.0,0.0,3.0,0.0
7.0,0.0,4.0,0.0
7.0,0.0,5.0,6.085918e-35
7.0,0.0,6.0,0.0
7.0,0.0,7.0,0.0
7.0,0.0,8.0,1.0
7.0,0.0,9.0,0.0
7.0,1.0,0.0,0.0
7.0,1.0,1.0,0.0
7.0,1.0,2.0,0.0
7.0,1.0,3.0,0.0
7.0,1.0,4.0,0.0
7.0,1.0,5.0,1.0
7.0,1.0,6.0,0.0
7.0,1.0,7.0,0.0
7.0,1.0,8.0,1.0714795e-36
7.0,1.0,9.0,1.7638076e-33
7.0,2.0,0.0,3.5961693e-37
7.0,2.0,1.0,0.0
7.0,2.0,2.0,0.0
7.0,2.0,3.0,0.0
7.0,2.0,4.0,0.0
7.0,2.0,5.0,5.132787e-35
7.0,2.0,6.0,0.0
7.0,2.0,7.0,0.0
7.0,2.0,8.0,0.0
7.0,2.0,9.0,0.7502844
7.0,3.0,0.0,1.0
7.0,3.0,1.0,0.0
7.0,3.0,2.0,0.0
7.0,3.0,3.0,0.0
7.0,3.0,4.0,1.2831106e-34
7.0,3.0,5.0,0.0
7.0,3.0,6.0,4.980547e-35
7.0,3.0,7.0,0.0
7.0,3.0,8.0,0.0
7.0,3.0,9.0,2.4432994e-35
7.0,4.0,0.0,1.9625501e-32
7.0,4.0,1.0,0.0
7.0,4.0,2.0,6.629315e-34
7.0,4.0,3.0,0.0
7.0,4.0,4.0,0.18483143
7.0,4.0,5.0,0.0
7.0,4.0,6.0,0.81516856
7.0,4.0,7.0,0.0
7.0,4.0,8.0,0.0
7.0,4.0,9.0,0.0
7.0,5.0,0.0,0.0
7.0,5.0,1.0,0.0
7.0,5.0,2.0,1.0
7.0,5.0,3.0,0.0
7.0,5.0,4.0,3.9083788e-36
7.0,5.0,5.0,0.0
7.0,5.0,6.0,4.5260307e-24
7.0,5.0,7.0,0.0
7.0,5.0,8.0,0.0
7.0,5.0,9.0,1.2578997e-38
7.0,6.0,0.0,0.0
7.0,6.0,1.0,0.0
7.0,6.0,2.0,1.6473582e-36
7.0,6.0,3.0,2.0695276e-29
7.0,6.0,4.0,0.0
7.0,6.0,5.0,0.0
7.0,6.0,6.0,0.0
7.0,6.0,7.0,0.0
7.0,6.0,8.0,0.0
7.0,6.0,9.0,0.24971561
7.0,7.0,0.0,0.0
7.0,7.0,1.0,8.737212e-39
7.0,7.0,2.0,0.0
7.0,7.0,3.0,1.0
7.0,7.0,4.0,0.0
7.0,7.0,5.0,0.0
7.0,7.0,6.0,0.0
7.0,7.0,7.0,0.0
7.0,7.0,8.0,0.0
7.0,7.0,9.0,1.404e-42
7.0,8.0,0.0,0.0
7.0,8.0,1.0,0.9999999
7.0,8.0,2.0,5.56838e-19
7.0,8.0,3.0,6.4041316e-17
7.0,8.0,4.0,0.0
7.0,8.0,5.0,0.0
7.0,8.0,6.0,0.0
7.0,8.0,7.0,1.8992645e-30
7.0,8.0,8.0,0.0
7.0,8.0,9.0,0.0
7.0,9.0,0.0,0.0
7.0,9.0,1.0,5.32167e-40
7.0,9.0,2.0,0.0
7.0,9.0,3.0,0.0
7.0,9.0,4.0,0.0
7.0,9.0,5.0,0.0
7.0,9.0,6.0,0.0
7.0,9.0,7.0,1.0
7.0,9.0,8.0,0.0
7.0,9.0,9.0,0.0
