complexity,mse
0.022167683,0.5219354
0.022367239,0.5215939
0.022567034,0.52124363
0.022767305,0.52089363
0.02296877,0.5205438
0.023171425,0.52020276
0.02337408,0.5198531
0.023577929,0.5195037
0.023783207,0.51916337
0.023988724,0.5188141
0.024194956,0.51846504
0.02440238,0.5181162
0.024610758,0.5177765
0.024819374,0.5174278
0.02502942,0.51707923
0.025239468,0.5167311
0.025450945,0.516383
0.025663614,0.51604384
0.025876284,0.5156959
0.026090145,0.5153483
0.02630496,0.5150008
0.026520967,0.51466227
0.026736975,0.514315
0.026953936,0.51396793
0.02717185,0.5136211
0.027391195,0.51328325
0.027610779,0.5129366
0.02783084,0.51259005
0.028051853,0.51224387
0.028273582,0.5118978
0.02849698,0.51156056
0.028720617,0.5112147
0.02894473,0.510869
0.029169798,0.5105235
0.02939558,0.5101782
0.02962327,0.50984174
0.029850483,0.5094966
0.030078888,0.50915176
0.030308247,0.50880706
0.030537844,0.5084626
0.03076911,0.50812685
0.031000853,0.5077826
0.031233072,0.5074384
0.031466246,0.5070945
0.031700134,0.5067508
0.031935453,0.5064159
0.032170773,0.50607234
0.032407284,0.505729
0.03264427,0.50538594
0.032882214,0.505043
0.033121347,0.50470895
0.033360958,0.50436616
0.033601046,0.5040236
0.033842087,0.50368136
0.034083843,0.5033392
0.034326315,0.5029973
0.034570456,0.502664
0.034814358,0.50232226
0.035059452,0.5019807
0.035305023,0.50163937
0.03555131,0.50129825
0.035799503,0.5009659
0.036047697,0.5006249
0.036296368,0.5002842
0.036545753,0.4999437
0.03679633,0.49960327
0.037047148,0.49926317
0.03729987,0.49893177
0.037552834,0.49859187
0.037805796,0.49825206
0.03806019,0.4979125
0.03831482,0.49757317
0.038570404,0.497234
0.038827896,0.49690363
0.03908539,0.4965647
0.03934312,0.49622595
0.039601803,0.49588734
0.039861202,0.49554902
0.040121317,0.4952109
0.040382147,0.49487287
0.040645123,0.49454358
0.04090786,0.49420583
0.041171074,0.4938683
0.041434765,0.49353093
0.04169941,0.49319375
0.04196453,0.49285683
0.042231083,0.49252006
0.042499304,0.49219194
0.042767048,0.49185538
0.043035507,0.49151903
0.043304443,0.49118286
0.043574333,0.49084693
0.04384494,0.49051118
0.04411626,0.49017566
0.044389963,0.48984867
0.044662476,0.48951334
0.04493642,0.48917824
0.0452106,0.48884332
0.045485735,0.48850858
0.045761585,0.4881741
0.046037674,0.4878397
0.0463171,0.48751408
0.04659462,0.48718
0.04687357,0.48684603
0.04715252,0.48651236
0.04743266,0.48617887
0.047713757,0.48584557
0.04799509,0.48551247
0.048277617,0.4851796
0.04856229,0.4848553
0.048846006,0.48452255
0.0491302,0.4841901
0.04941559,0.48385784
0.049701452,0.4835258
0.049987793,0.48319396
0.050275087,0.4828623
0.050563097,0.4825309
0.05085373,0.482208
0.05114317,0.4818768
0.051433325,0.48154575
0.05172372,0.48121494
0.052015543,0.48088437
0.052307606,0.48055398
0.052600384,0.48022383
0.052894115,0.4798938
0.05319047,0.47957236
0.053485632,0.47924265
0.05378127,0.4789131
0.054077864,0.47858384
0.054374695,0.47825462
0.05467224,0.47792578
0.05497074,0.47759703
0.055270195,0.47726852
0.05556965,0.47694027
0.055872917,0.47662044
0.05617404,0.47629243
0.056476116,0.47596455
0.05677843,0.47563693
0.05708146,0.4753095
0.05738592,0.47498226
0.057689905,0.4746552
0.05799532,0.47432843
0.05830145,0.47400182
0.05861044,0.4736837
0.058918,0.47335735
0.05922556,0.47303122
0.05953431,0.47270536
0.05984378,0.4723796
0.060153723,0.47205412
0.060464382,0.4717288
0.060775757,0.47140372
0.06108761,0.47107887
0.061400175,0.47075415
0.061716557,0.47043788
0.062030315,0.4701135
0.06234479,0.4697893
0.06266022,0.4694653
0.06297636,0.46914154
0.06329274,0.46881795
0.06361008,0.46849465
0.06392765,0.46817148
0.064246416,0.46784854
0.064569,0.4675342
0.06488848,0.46721154
0.06520939,0.4668891
0.0655303,0.4665669
0.06585193,0.46624485
0.06617451,0.46592304
0.066497326,0.46560144
0.0668211,0.46528006
0.06714511,0.4649589
0.06747055,0.46463794
0.06779599,0.4643172
0.06812596,0.4640049
0.0684526,0.46368447
0.068780184,0.46336424
0.06910825,0.46304423
0.06943703,0.4627244
0.06976628,0.4624048
