complexity,mse
4.7843447,0.7778764
4.786311,0.7757453
4.788274,0.77362615
4.790246,0.77151006
4.7921963,0.7694149
4.7941427,0.76733124
4.7960987,0.7652504
4.7980328,0.76319003
4.799963,0.76114106
4.8019056,0.7590945
4.8038225,0.75706816
4.8057384,0.755053
4.807661,0.75303966
4.8095675,0.75104654
4.8114634,0.74906415
4.8133593,0.7470927
4.8152485,0.74513173
4.8171473,0.7431722
4.819026,0.7412324
4.8209,0.73930305
4.822769,0.73738384
4.8246346,0.73547494
4.8265085,0.73356664
4.8283625,0.7316779
4.8302135,0.72979915
4.83206,0.72793007
4.8339014,0.7260709
4.8357363,0.7242212
4.837569,0.72238123
4.8393955,0.7205506
4.841219,0.7187295
4.8430367,0.71691763
4.8448515,0.7151151
4.8466597,0.7133215
4.848466,0.7115371
4.8502645,0.7097616
4.852063,0.70799494
4.853854,0.7062371
4.8556433,0.7044879
4.8574276,0.7027474
4.859206,0.7010153
4.860983,0.69929165
4.8627405,0.697586
4.8645096,0.695879
4.866272,0.6941801
4.8680325,0.69248927
4.86979,0.69080645
4.8715296,0.6891411
4.8732786,0.68747395
4.875025,0.6858145
4.876766,0.6841626
4.878503,0.68251836
4.880225,0.6808911
4.881955,0.6792617
4.883683,0.6776394
4.8854074,0.6760243
4.887129,0.67441624
4.8888464,0.67281526
4.8905487,0.6712309
4.8922596,0.6696435
4.8939686,0.66806304
4.8956738,0.6664891
4.8973894,0.66491187
4.899087,0.6633511
4.900772,0.66180664
4.902466,0.66025853
4.9041557,0.6587168
4.905856,0.6571715
4.9075403,0.6556422
4.9092236,0.6541191
4.910902,0.65260184
4.9125805,0.65109074
4.914255,0.6495857
4.9159374,0.6480767
4.9176064,0.64658344
4.919284,0.6450863
4.920948,0.64360476
4.9226217,0.64211917
4.92428,0.6406493
4.925947,0.63917536
4.927602,0.63771695
4.929263,0.6362543
4.930911,0.63480735
4.9325686,0.6333561
4.934224,0.63191044
4.935875,0.6304704
4.9375105,0.62904584
4.939145,0.6276268
4.940789,0.6262034
4.9424305,0.6247856
4.9440575,0.6233829
4.945695,0.62197596
4.9473276,0.6205743
4.9489584,0.619178
4.950575,0.6177969
4.952199,0.6164112
4.9538116,0.6150405
4.955433,0.6136653
4.9570494,0.61229527
4.9586525,0.6109401
4.960267,0.6095802
4.9618893,0.6082156
4.9634867,0.60687566
4.9650917,0.6055308
4.966696,0.60419095
4.968297,0.602856
4.9698954,0.60152584
4.971491,0.60020053
4.9730854,0.59888005
4.974677,0.59756434
4.9762793,0.59624356
4.977867,0.5949373
4.979452,0.5936358
4.9810457,0.5923291
4.982627,0.5910369
4.9842167,0.58973956
4.985792,0.5884568
4.987377,0.5871687
4.9889603,0.58588517
4.990529,0.58461636
4.9921064,0.5833422
